Date,Open,High,Low,Close
01/04/88 00:00:00,1.2457,1.2521,1.2297,1.2297
01/05/88 00:00:00,1.2301,1.2328,1.1951,1.1962
01/06/88 00:00:00,1.1966,1.2036,1.1704,1.1889
01/07/88 00:00:00,1.1886,1.1948,1.1782,1.1793
01/08/88 00:00:00,1.1796,1.1962,1.1747,1.1908
01/11/88 00:00:00,1.1897,1.1995,1.1882,1.1918
01/12/88 00:00:00,1.1918,1.1992,1.1908,1.1973
01/13/88 00:00:00,1.1977,1.2058,1.1911,1.194
01/14/88 00:00:00,1.194,1.2006,1.1926,1.1999
01/15/88 00:00:00,1.1999,1.1999,1.158,1.159
01/18/88 00:00:00,1.158,1.1663,1.1508,1.1642
01/19/88 00:00:00,1.1642,1.1701,1.1583,1.1656
01/20/88 00:00:00,1.1659,1.1811,1.1649,1.1803
01/21/88 00:00:00,1.18,1.185,1.1726,1.1743
01/22/88 00:00:00,1.1747,1.1747,1.1656,1.1722
01/25/88 00:00:00,1.1691,1.1775,1.1614,1.1621
01/26/88 00:00:00,1.1624,1.1701,1.1618,1.1691
01/27/88 00:00:00,1.1691,1.174,1.1649,1.1733
01/28/88 00:00:00,1.1733,1.1761,1.1712,1.1729
01/29/88 00:00:00,1.1733,1.174,1.1621,1.1628
02/01/88 00:00:00,1.1614,1.1628,1.1535,1.1559
02/02/88 00:00:00,1.1559,1.1632,1.1559,1.1621
02/03/88 00:00:00,1.1624,1.1642,1.1535,1.1556
02/04/88 00:00:00,1.1559,1.1624,1.1505,1.1614
02/05/88 00:00:00,1.1614,1.1624,1.1474,1.1485
02/08/88 00:00:00,1.1468,1.1542,1.1454,1.1501
02/09/88 00:00:00,1.1501,1.1553,1.1458,1.1539
02/10/88 00:00:00,1.1535,1.159,1.1518,1.1549
02/11/88 00:00:00,1.1553,1.159,1.1546,1.1566
02/12/88 00:00:00,1.1566,1.1566,1.1338,1.1424
02/15/88 00:00:00,1.1404,1.1458,1.1394,1.1451
02/16/88 00:00:00,1.1451,1.1485,1.1388,1.1434
02/17/88 00:00:00,1.1431,1.1505,1.1414,1.1485
02/18/88 00:00:00,1.1485,1.1505,1.1411,1.1424
02/19/88 00:00:00,1.1424,1.1498,1.1401,1.1438
02/22/88 00:00:00,1.1438,1.1542,1.1438,1.1522
02/23/88 00:00:00,1.1522,1.1583,1.1518,1.1539
02/24/88 00:00:00,1.1539,1.1566,1.1518,1.1532
02/25/88 00:00:00,1.1532,1.1563,1.1495,1.1532
02/26/88 00:00:00,1.1546,1.1604,1.1546,1.1573
02/29/88 00:00:00,1.1576,1.1611,1.1563,1.1587
03/01/88 00:00:00,1.1587,1.1607,1.1549,1.159
03/02/88 00:00:00,1.159,1.1597,1.1518,1.1518
03/03/88 00:00:00,1.1518,1.1546,1.1512,1.1539
03/04/88 00:00:00,1.1542,1.158,1.1518,1.158
03/07/88 00:00:00,1.1576,1.1677,1.1546,1.1659
03/08/88 00:00:00,1.1659,1.1743,1.1649,1.1729
03/09/88 00:00:00,1.1729,1.1733,1.1691,1.1701
03/10/88 00:00:00,1.1704,1.1761,1.1687,1.175
03/11/88 00:00:00,1.1754,1.1796,1.175,1.1786
03/14/88 00:00:00,1.1786,1.1811,1.174,1.1747
03/15/88 00:00:00,1.1743,1.1761,1.1701,1.1704
03/16/88 00:00:00,1.1704,1.1736,1.1666,1.1673
03/17/88 00:00:00,1.1677,1.1694,1.1546,1.1559
