Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,4209.410156,4222.500000,4208.640137,4210.509766,4210.509766,100864900
2018-01-30,4210.520020,4210.580078,4165.080078,4165.080078,4165.080078,130611700
2018-01-31,4165.080078,4170.740234,4131.089844,4137.660156,4137.660156,139331100
2018-02-01,4137.680176,4149.490234,4111.000000,4115.990234,4115.990234,134570600
2018-02-02,4115.990234,4117.890137,4083.590088,4086.719971,4086.719971,135362200
2018-02-05,4086.719971,4086.719971,4026.219971,4027.439941,4027.439941,142381100
2018-02-06,4027.409912,4027.409912,3899.929932,3924.949951,3924.949951,206105400
2018-02-07,3924.969971,4017.510010,3924.969971,4002.510010,4002.510010,159572200
2018-02-08,4002.500000,4002.500000,3937.530029,3941.250000,3941.250000,148673500
2018-02-09,3941.229980,3941.229980,3893.139893,3902.850098,3902.850098,145257500
2018-02-12,3902.800049,3959.729980,3902.800049,3946.419922,3946.419922,112384500
2018-02-13,3946.419922,3959.459961,3939.709961,3939.709961,3939.709961,113151200
2018-02-14,3939.709961,3978.649902,3929.610107,3964.969971,3964.969971,140910700
2018-02-15,3964.969971,3995.850098,3964.939941,3978.899902,3978.899902,127952100
2018-02-16,3978.909912,4017.310059,3978.909912,4012.280029,4012.280029,104873600
2018-02-19,4012.290039,4018.209961,3984.969971,3988.330078,3988.330078,81721700
2018-02-20,3988.340088,3997.239990,3970.889893,3991.899902,3991.899902,106310400
2018-02-21,3991.909912,4012.030029,3976.770020,4007.429932,4007.429932,139734600
2018-02-22,4007.439941,4007.439941,3960.540039,3992.399902,3992.399902,145829000
2018-02-23,3992.399902,3996.810059,3978.969971,3991.500000,3991.500000,111844600
2018-02-26,3991.500000,4023.149902,3991.500000,4012.750000,4012.750000,99552300
2018-02-27,4012.760010,4032.100098,4007.409912,4011.520020,4011.520020,117795200
2018-02-28,4011.530029,4014.120117,3981.610107,3981.610107,3981.610107,141813900
2018-03-01,3981.620117,3981.620117,3942.580078,3953.280029,3953.280029,135797200
2018-03-02,3953.290039,3953.290039,3896.770020,3899.699951,3899.699951,141111000
2018-03-05,3899.689941,3928.320068,3897.120117,3927.229980,3927.229980,138203800
2018-03-06,3927.229980,3968.540039,3927.090088,3945.729980,3945.729980,123943900
2018-03-07,3945.729980,3963.270020,3929.340088,3952.800049,3952.800049,130926800
2018-03-08,3952.790039,3984.090088,3947.340088,3979.760010,3979.760010,121436600
2018-03-09,3979.760010,3993.449951,3974.399902,3993.449951,3993.449951,114952000
2018-03-12,3993.449951,4008.000000,3981.399902,3991.040039,3991.040039,110773100
2018-03-13,3991.030029,3992.790039,3942.370117,3948.560059,3948.560059,132911000
2018-03-14,3948.560059,3968.149902,3939.540039,3943.629883,3943.629883,121325700
2018-03-15,3943.629883,3957.969971,3940.500000,3947.159912,3947.159912,132267900
2018-03-16,3947.219971,3968.310059,3943.250000,3957.080078,3957.080078,257057400
2018-03-19,3957.060059,3957.060059,3895.080078,3898.510010,3898.510010,130234300
2018-03-20,3898.500000,3917.120117,3898.120117,3907.729980,3907.729980,122696400
2018-03-21,3907.709961,3909.840088,3884.610107,3895.310059,3895.310059,128220600
2018-03-22,3895.320068,3895.320068,3828.489990,3846.879883,3846.879883,144849700
2018-03-23,3846.939941,3846.939941,3802.419922,3830.250000,3830.250000,155190500
2018-03-26,3830.209961,3847.280029,3799.399902,3810.810059,3810.810059,115140000
2018-03-27,3810.820068,3887.879883,3810.820068,3866.919922,3866.919922,113291600
2018-03-28,3867.030029,3885.159912,3825.669922,3885.159912,3885.159912,117732000
2018-03-29,3885.149902,3918.879883,3885.110107,3894.169922,3894.169922,141955700
2018-04-03,3894.179932,3897.250000,3860.629883,3881.040039,3881.040039,126708600
2018-04-04,3881.060059,3887.590088,3848.659912,3876.629883,3876.629883,125499100
2018-04-05,3876.639893,3961.280029,3876.639893,3961.280029,3961.280029,126075100
2018-04-06,3961.270020,3968.479980,3943.560059,3953.469971,3953.469971,108837500
2018-04-09,3953.510010,3966.330078,3933.429932,3956.840088,3956.840088,103589400
2018-04-10,3956.889893,3995.860107,3956.889893,3995.860107,3995.860107,118084500
2018-04-11,3995.840088,3997.689941,3983.389893,3991.850098,3991.850098,122495400
2018-04-12,3991.830078,3999.750000,3985.570068,3996.540039,3996.540039,119929100
2018-04-13,3996.520020,4007.199951,3991.310059,4001.330078,4001.330078,112571800
2018-04-16,4001.379883,4002.370117,3969.080078,3970.000000,3970.000000,128245100
