Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,29.709101,33.274200,29.709101,32.977100,32.194248,9804055
2000-01-05,29.709101,30.897499,29.560600,30.600401,29.873972,7600524
2000-01-06,30.600401,30.600401,27.629499,28.075100,27.408619,4982138
2000-01-07,28.075100,28.817900,26.738199,27.629499,26.973597,2142270
2000-01-10,29.115000,29.560600,28.520800,28.520800,27.843737,2426022
2000-01-11,29.560600,29.709101,28.520800,28.520800,27.843737,3450454
2000-01-12,28.223700,29.709101,27.926600,29.709101,29.003828,1655720
2000-01-13,29.709101,30.303301,29.412001,29.709101,29.003828,2479540
2000-01-14,30.303301,32.977100,30.006201,32.085899,31.324207,13743248
2000-01-17,33.274200,33.274200,31.194599,31.194599,30.454063,5440583
2000-01-18,31.194599,32.085899,31.194599,31.491699,30.744110,3100898
2000-01-19,31.491699,32.382999,31.491699,31.788799,31.034157,3927412
2000-01-20,32.085899,32.382999,31.194599,31.194599,30.454063,3568095
2000-01-21,31.194599,31.491699,30.600401,31.491699,30.744110,3453147
2000-01-24,31.491699,31.788799,31.194599,31.491699,30.744110,891308
2000-01-25,30.600401,30.897499,30.303301,30.897499,30.164017,2550562
2000-01-26,31.788799,32.085899,31.194599,32.085899,31.324207,4323081
2000-01-27,31.788799,32.085899,31.491699,31.788799,31.034157,1534040
2000-01-28,31.788799,32.382999,31.788799,32.382999,31.614254,4864665
2000-01-31,32.382999,34.462601,32.085899,33.868401,33.064392,11828012
2000-02-01,34.759701,34.759701,32.977100,33.274200,32.484295,3555809
2000-02-02,33.868401,33.868401,32.977100,33.868401,33.064392,3527030
2000-02-03,33.868401,34.165501,32.680000,34.165501,33.354439,1786992
2000-02-04,34.165501,34.462601,33.274200,34.462601,33.644485,1556255
2000-02-07,34.462601,35.056801,34.165501,34.759701,33.934536,2306193
2000-02-08,34.759701,35.651001,34.759701,35.056801,34.224579,4319884
2000-02-09,35.651001,35.948101,34.462601,35.056801,34.224579,3531574
2000-02-10,34.462601,38.621899,34.165501,38.324799,37.414997,10860633
2000-02-11,39.216099,41.295700,38.324799,40.701500,39.735279,12957463
2000-02-14,40.701500,40.701500,38.027699,38.918999,37.995094,6331386
2000-02-15,39.216099,39.216099,33.274200,33.571301,32.774342,6667815
2000-02-16,34.165501,34.165501,29.412001,30.006201,29.293877,14576998
2000-02-17,30.600401,31.194599,29.412001,29.560600,28.858856,9860099
2000-02-18,30.006201,31.788799,29.560600,31.194599,30.454063,8205557
2000-02-21,30.978701,30.978701,30.978701,30.978701,30.243292,0
2000-02-22,30.600401,31.194599,28.520800,28.520800,27.843737,4998799
2000-02-23,29.115000,30.006201,27.480900,30.006201,29.293877,5962813
2000-02-24,30.897499,31.491699,29.709101,30.303301,29.583925,3382293
2000-02-25,30.897499,31.788799,30.303301,31.194599,30.454063,3303698
2000-02-28,30.600401,30.897499,29.709101,29.709101,29.003828,3062694
2000-02-29,30.600401,30.600401,29.709101,29.709101,29.003828,3370344
2000-03-01,30.303301,30.600401,29.709101,29.709101,29.003828,1669352
2000-03-02,30.303301,31.194599,30.006201,30.897499,30.164017,3358731
2000-03-03,31.491699,31.788799,30.897499,30.897499,30.164017,4710168
2000-03-06,30.897499,32.977100,30.897499,32.382999,31.614254,4557353
2000-03-07,32.382999,33.274200,32.085899,32.680000,31.904202,1530337
2000-03-08,32.085899,33.868401,31.788799,33.868401,33.064392,3520298
2000-03-09,34.462601,34.759701,33.868401,33.868401,33.064392,2903989
2000-03-10,35.056801,35.353901,34.462601,35.353901,34.514626,4071643
2000-03-13,34.462601,34.462601,32.085899,32.680000,31.904202,4031588
2000-03-14,32.085899,32.977100,31.788799,32.382999,31.614254,3829294
2000-03-15,31.788799,32.085899,29.560600,30.006201,29.293877,9078353
2000-03-16,30.600401,31.194599,30.303301,30.897499,30.164017,5214053
2000-03-17,32.085899,32.382999,31.194599,31.491699,30.744110,2830948
2000-03-20,30.897499,31.194599,30.600401,30.897499,30.164017,406272
2000-03-21,30.897499,31.194599,29.709101,30.006201,29.293877,3206085
2000-03-22,30.600401,30.897499,27.629499,27.926600,27.263645,6791514
2000-03-23,28.075100,29.709101,27.480900,29.412001,28.713783,5441929
2000-03-24,29.709101,30.303301,29.115000,29.709101,29.003828,4294470
2000-03-27,30.006201,30.303301,29.412001,30.006201,29.293877,2523635
2000-03-28,30.897499,31.194599,30.303301,30.600401,29.873972,4344119
2000-03-29,30.600401,30.600401,30.006201,30.303301,29.583925,3409726
2000-03-30,30.303301,31.788799,30.006201,30.897499,30.164017,6711572
2000-03-31,30.600401,31.788799,30.600401,31.491699,30.744110,5253435
2000-04-03,27.926600,29.709101,27.926600,29.263500,28.568808,5410626
2000-04-04,29.115000,29.115000,28.223700,28.223700,27.553692,2648175
2000-04-05,28.520800,29.115000,28.372200,28.966400,28.278761,1035204
2000-04-06,28.766001,28.766001,28.766001,28.766001,28.083118,0
2000-04-07,29.115000,30.006201,29.115000,30.006201,29.293877,2386976
2000-04-10,30.006201,31.194599,29.709101,30.600401,29.873972,2716336
2000-04-11,30.006201,31.194599,30.006201,30.897499,30.164017,1974477
2000-04-12,30.600401,31.194599,30.600401,31.194599,30.454063,1682143
2000-04-13,30.978701,30.978701,30.978701,30.978701,30.243292,0
2000-04-14,30.978701,30.978701,30.978701,30.978701,30.243292,0
2000-04-17,28.520800,29.412001,28.223700,29.412001,28.713783,2118204
2000-04-18,30.303301,30.303301,28.966400,28.966400,28.278761,1683152
2000-04-19,29.115000,29.412001,28.966400,29.115000,28.423834,978655
2000-04-20,29.560600,29.560600,28.817900,28.966400,28.278761,1514012
2000-04-21,29.412001,29.560600,29.115000,29.412001,28.713783,183950
2000-04-24,29.709101,30.303301,29.115000,30.006201,29.293877,418053
2000-04-25,30.006201,30.600401,29.709101,30.600401,29.873972,1600854
2000-04-26,30.600401,30.600401,30.006201,30.006201,29.293877,888447
2000-04-27,30.006201,30.600401,29.412001,29.412001,28.713783,1676252
2000-04-28,29.709101,29.709101,29.115000,29.709101,29.003828,317916
2000-05-01,29.503500,29.503500,29.503500,29.503500,28.803112,0
2000-05-02,29.412001,29.560600,29.263500,29.263500,28.568808,737147
2000-05-03,29.263500,29.560600,28.817900,29.560600,28.858856,319262
2000-05-04,29.115000,30.303301,29.115000,29.709101,29.003828,1352951
2000-05-05,29.503500,29.503500,29.503500,29.503500,28.803112,0
2000-05-08,29.560600,29.709101,28.669300,28.817900,28.133783,468879
2000-05-09,28.618500,28.618500,28.618500,28.618500,27.939119,0
2000-05-10,26.886801,26.886801,25.698400,26.143999,25.523361,2129143
2000-05-11,25.698400,25.698400,23.915800,23.915800,23.348057,4965981
2000-05-12,24.510000,24.807100,23.321699,24.510000,23.928154,3010185
2000-05-15,24.955700,25.104200,24.361500,24.361500,23.783176,973775
2000-05-16,24.658600,26.292601,24.658600,26.292601,25.668434,2059468
2000-05-17,26.110600,26.110600,26.110600,26.110600,25.490753,0
2000-05-18,25.549900,25.549900,24.807100,25.252800,24.653318,1579649
2000-05-19,25.252800,25.549900,24.807100,24.955700,24.363272,744216
2000-05-22,24.510000,24.658600,24.064400,24.212900,23.638105,473423
2000-05-23,24.212900,24.212900,23.470200,23.915800,23.348057,334409
2000-05-24,23.470200,23.470200,22.727501,23.024599,22.478014,2140419
2000-05-25,23.470200,23.767300,20.796400,20.944901,20.447683,1103869
2000-05-26,20.499300,21.539101,19.905100,21.390600,20.882803,1082327
2000-05-29,21.539101,21.687700,20.796400,20.796400,20.302710,678916
2000-05-30,20.652500,20.652500,20.652500,20.652500,20.162226,0
2000-05-31,21.687700,23.470200,21.390600,23.024599,22.478014,2309222
2000-06-01,23.173100,23.767300,23.024599,23.767300,23.203083,1041935
2000-06-02,24.658600,25.698400,24.658600,25.104200,24.508245,3512219
2000-06-05,26.143999,27.480900,26.143999,27.035299,26.393503,3500775
2000-06-06,27.035299,27.035299,26.292601,26.886801,26.248529,586352
2000-06-07,26.589701,27.332399,26.143999,26.143999,25.523361,1655720
2000-06-08,26.589701,27.183901,26.441099,27.183901,26.538574,1631316
2000-06-09,27.183901,27.183901,26.589701,26.886801,26.248529,319935
2000-06-12,26.738199,26.738199,25.698400,25.995501,25.378387,540406
2000-06-13,25.698400,25.698400,24.955700,25.252800,24.653318,804130
2000-06-14,25.401300,26.738199,25.252800,26.738199,26.103455,1041431
2000-06-15,26.738199,26.886801,25.995501,26.292601,25.668434,971250
2000-06-16,26.738199,26.886801,26.292601,26.292601,25.668434,253121
2000-06-19,26.143999,26.143999,25.698400,25.995501,25.378387,237469
2000-06-20,26.589701,26.738199,25.995501,25.995501,25.378387,173347
2000-06-21,25.995501,26.589701,25.995501,26.292601,25.668434,252279
2000-06-22,26.738199,26.886801,25.847000,25.847000,25.233412,559592
