Date,Close,y_pred,y_true
05/11/93 00:00:00,1.2171,1.0,2.0
05/12/93 00:00:00,1.2152,0.0,1.0
05/13/93 00:00:00,1.2107,0.0,1.0
05/14/93 00:00:00,1.2212,0.0,4.0
05/17/93 00:00:00,1.2125,3.0,0.0
05/18/93 00:00:00,1.2043,0.0,0.0
05/19/93 00:00:00,1.2051,3.0,2.0
05/20/93 00:00:00,1.2103,0.0,3.0
05/21/93 00:00:00,1.2032,0.0,0.0
05/24/93 00:00:00,1.1957,1.0,0.0
05/25/93 00:00:00,1.1999,2.0,3.0
05/26/93 00:00:00,1.2014,0.0,2.0
05/27/93 00:00:00,1.2201,4.0,4.0
05/28/93 00:00:00,1.2324,4.0,4.0
05/31/93 00:00:00,1.2309,4.0,2.0
06/01/93 00:00:00,1.2336,4.0,3.0
06/02/93 00:00:00,1.2241,4.0,0.0
06/03/93 00:00:00,1.2233,1.0,2.0
06/04/93 00:00:00,1.202,2.0,0.0
06/07/93 00:00:00,1.2077,0.0,4.0
06/08/93 00:00:00,1.2034,1.0,1.0
06/09/93 00:00:00,1.1959,1.0,0.0
06/10/93 00:00:00,1.2009999999999998,1.0,3.0
06/11/93 00:00:00,1.2019,4.0,2.0
06/14/93 00:00:00,1.2014,0.0,2.0
06/15/93 00:00:00,1.188,0.0,0.0
06/16/93 00:00:00,1.1818,0.0,0.0
06/17/93 00:00:00,1.1785,0.0,1.0
06/18/93 00:00:00,1.1636,0.0,0.0
06/21/93 00:00:00,1.1588,0.0,1.0
06/22/93 00:00:00,1.1535,0.0,1.0
06/23/93 00:00:00,1.1567,0.0,3.0
06/24/93 00:00:00,1.1459,4.0,0.0
06/25/93 00:00:00,1.1462,4.0,2.0
06/28/93 00:00:00,1.1539,3.0,4.0
06/29/93 00:00:00,1.1588,1.0,3.0
06/30/93 00:00:00,1.1466,1.0,0.0
07/01/93 00:00:00,1.156,3.0,4.0
07/02/93 00:00:00,1.1522,0.0,1.0
07/05/93 00:00:00,1.1529,3.0,2.0
07/06/93 00:00:00,1.1476,1.0,1.0
07/07/93 00:00:00,1.1466,1.0,2.0
07/08/93 00:00:00,1.1497,1.0,3.0
07/09/93 00:00:00,1.1357,0.0,0.0
07/12/93 00:00:00,1.1299,0.0,0.0
07/13/93 00:00:00,1.1377,0.0,4.0
07/14/93 00:00:00,1.1401,4.0,3.0
07/15/93 00:00:00,1.1351,0.0,1.0
07/16/93 00:00:00,1.1399,3.0,3.0
07/19/93 00:00:00,1.1471,2.0,4.0
07/20/93 00:00:00,1.1509,4.0,3.0
07/21/93 00:00:00,1.1523,2.0,2.0
07/22/93 00:00:00,1.1476,4.0,1.0
07/23/93 00:00:00,1.1372,3.0,0.0
07/26/93 00:00:00,1.1341,1.0,1.0
07/27/93 00:00:00,1.1320000000000001,1.0,1.0
07/28/93 00:00:00,1.1384,1.0,4.0
07/29/93 00:00:00,1.1245,0.0,0.0
07/30/93 00:00:00,1.1226,4.0,1.0
08/02/93 00:00:00,1.1442,3.0,4.0
08/03/93 00:00:00,1.1456,4.0,2.0
08/04/93 00:00:00,1.145,4.0,2.0
08/05/93 00:00:00,1.1434,1.0,1.0
08/06/93 00:00:00,1.1526,4.0,4.0
08/09/93 00:00:00,1.1521,0.0,2.0
08/10/93 00:00:00,1.1392,1.0,0.0
08/11/93 00:00:00,1.1364,2.0,1.0
08/12/93 00:00:00,1.1396,3.0,3.0
08/13/93 00:00:00,1.143,1.0,3.0
08/16/93 00:00:00,1.1597,1.0,4.0
08/17/93 00:00:00,1.1553,4.0,1.0
08/18/93 00:00:00,1.1642,3.0,4.0
08/19/93 00:00:00,1.1592,4.0,1.0
08/20/93 00:00:00,1.1682,4.0,4.0
08/23/93 00:00:00,1.1614,4.0,0.0
08/24/93 00:00:00,1.1649,3.0,3.0
08/25/93 00:00:00,1.1619,3.0,1.0
08/26/93 00:00:00,1.1739,4.0,4.0
08/27/93 00:00:00,1.1762,4.0,3.0
08/30/93 00:00:00,1.1699,4.0,0.0
08/31/93 00:00:00,1.167,2.0,1.0
09/01/93 00:00:00,1.1787,4.0,4.0
09/02/93 00:00:00,1.1895,4.0,4.0
09/03/93 00:00:00,1.2097,4.0,4.0
09/06/93 00:00:00,1.2113,2.0,3.0
09/07/93 00:00:00,1.2116,1.0,2.0
09/08/93 00:00:00,1.2123,1.0,2.0
09/09/93 00:00:00,1.2219,3.0,4.0
09/10/93 00:00:00,1.2256,3.0,3.0
09/13/93 00:00:00,1.2167,4.0,0.0
09/14/93 00:00:00,1.2141,1.0,1.0
09/15/93 00:00:00,1.2262,4.0,4.0
09/16/93 00:00:00,1.2207,1.0,1.0
09/17/93 00:00:00,1.2128,2.0,0.0
09/20/93 00:00:00,1.2146,1.0,3.0
09/21/93 00:00:00,1.194,0.0,0.0
09/22/93 00:00:00,1.1989,3.0,3.0
09/23/93 00:00:00,1.1906,1.0,0.0
09/24/93 00:00:00,1.1942,2.0,3.0
09/27/93 00:00:00,1.2012,0.0,4.0
